trnOpDate,gateInComingCnt,gateOutGoingCnt,totalPass
2005/1/1,15988,14649,30637
2005/1/2,15019,18615,33634
2005/1/3,9301,11001,20302
2005/1/4,7677,7910,15587
2005/1/5,8450,8677,17127
2005/1/6,9398,9042,18440
2005/1/7,15234,13466,28700
2005/1/8,16959,15825,32784
2005/1/9,16279,19424,35703
2005/1/10,9955,11122,21077
2005/1/11,7370,7039,14409
2005/1/12,7857,7141,14998
2005/1/13,7363,6832,14195
2005/1/14,12973,10412,23385
2005/1/15,12824,11215,24039
2005/1/16,12695,14221,26916
2005/1/17,8849,9441,18290
2005/1/18,9353,9176,18529
2005/1/19,10741,10696,21437
2005/1/20,13009,13034,26043
2005/1/21,17248,16300,33548
2005/1/22,17447,16970,34417
2005/1/23,17184,19759,36943
2005/1/24,12086,13825,25911
2005/1/25,11403,12196,23599
2005/1/26,12236,12228,24464
2005/1/27,11500,11572,23072
2005/1/28,14965,14098,29063
2005/1/29,16836,16009,32845
2005/1/30,16195,17773,33968
2005/1/31,12666,13292,25958
2005/2/1,11523,11649,23172
2005/2/2,11001,11358,22359
2005/2/3,11862,11511,23373
2005/2/4,14216,12785,27001
2005/2/5,17547,15570,33117
2005/2/6,15768,14479,30247
2005/2/7,13095,12037,25132
2005/2/8,9979,8946,18925
2005/2/9,18073,19096,37169
2005/2/10,19041,20313,39354
2005/2/11,23180,24690,47870
2005/2/12,22782,24960,47742
2005/2/13,21448,24786,46234
2005/2/14,15818,18275,34093
2005/2/15,12036,12676,24712
2005/2/16,11199,11754,22953
2005/2/17,11181,11902,23083
2005/2/18,14622,14203,28825
2005/2/19,15750,15472,31222
2005/2/20,14753,17255,32008
2005/2/21,9536,10571,20107
2005/2/22,9274,9411,18685
2005/2/23,10853,10645,21498
2005/2/24,10091,10026,20117
2005/2/25,17706,15115,32821
2005/2/26,17244,15715,32959
2005/2/27,16069,16729,32798
2005/2/28,17359,22351,39710
2005/3/1,9700,10740,20440
2005/3/2,8553,8372,16925
2005/3/3,8192,8059,16251
2005/3/4,16511,13761,30272
2005/3/5,17220,16120,33340
2005/3/6,18651,21916,40567
2005/3/7,10587,12333,22920
2005/3/8,9153,9534,18687
2005/3/9,9911,9976,19887
2005/3/10,9638,9415,19053
2005/3/11,18054,15494,33548
2005/3/12,15760,14511,30271
2005/3/13,18044,22454,40498
2005/3/14,10339,12041,22380
2005/3/15,9425,9578,19003
2005/3/16,9799,10264,20063
2005/3/17,9755,9415,19170
2005/3/18,17522,14986,32508
2005/3/19,18850,18459,37309
2005/3/20,19823,23711,43534
2005/3/21,10766,12297,23063
2005/3/22,9180,9588,18768
2005/3/23,9096,9080,18176
2005/3/24,9844,9549,19393
2005/3/25,17020,14881,31901
2005/3/26,19629,18731,38360
2005/3/27,19780,23304,43084
2005/3/28,10527,11939,22466
2005/3/29,8459,8718,17177
2005/3/30,9454,9582,19036
2005/3/31,10225,9625,19850
2005/4/1,19544,16581,36125
2005/4/2,19479,17240,36719
2005/4/3,20010,21642,41652
2005/4/4,16142,16816,32958
2005/4/5,20293,25083,45376
2005/4/6,12080,14358,26438
2005/4/7,10156,10790,20946
2005/4/8,16343,16161,32504
2005/4/9,19899,19887,39786
2005/4/10,21258,23840,45098
2005/4/11,10295,11643,21938
2005/4/12,9113,9051,18164
2005/4/13,9081,9298,18379
2005/4/14,9649,9634,19283
2005/4/15,17024,16197,33221
2005/4/16,21627,21523,43150
2005/4/17,21035,23200,44235
2005/4/18,10376,11653,22029
2005/4/19,8947,9207,18154
2005/4/20,9064,8974,18038
2005/4/21,9841,9920,19761
2005/4/22,16843,15582,32425
2005/4/23,18941,18254,37195
2005/4/24,18973,21599,40572
2005/4/25,10297,11663,21960
2005/4/26,8565,8595,17160
2005/4/27,9451,9333,18784
2005/4/28,9902,9552,19454
2005/4/29,17447,15678,33125
2005/4/30,21477,20614,42091
2005/5/1,19615,23020,42635
2005/5/2,11495,13323,24818
2005/5/3,8895,9448,18343
2005/5/4,9495,9600,19095
2005/5/5,10680,10563,21243
2005/5/6,19727,16584,36311
2005/5/7,21536,19698,41234
2005/5/8,20607,26195,46802
2005/5/9,11399,14458,25857
2005/5/10,8631,9079,17710
2005/5/11,10049,10187,20236
2005/5/12,7391,8173,15564
2005/5/13,16293,14081,30374
2005/5/14,13659,13406,27065
2005/5/15,14431,17203,31634
2005/5/16,10281,11868,22149
2005/5/17,9533,9685,19218
2005/5/18,9590,9706,19296
2005/5/19,9820,9643,19463
2005/5/20,17630,15810,33440
2005/5/21,20573,20007,40580
2005/5/22,20273,23637,43910
2005/5/23,13862,14380,28242
2005/5/24,9829,10134,19963
2005/5/25,11111,11427,22538
2005/5/26,11609,11994,23603
2005/5/27,19833,17339,37172
2005/5/28,20277,20123,40400
2005/5/29,20683,24302,44985
2005/5/30,12641,13854,26495
2005/5/31,11324,11384,22708
2005/6/1,12123,12015,24138
2005/6/2,11186,11469,22655
2005/6/3,18174,16145,34319
2005/6/4,20362,20355,40717
2005/6/5,19822,23809,43631
2005/6/6,11227,12808,24035
2005/6/7,11628,10575,22203
2005/6/8,11945,12331,24276
2005/6/9,13196,12891,26087
2005/6/10,23789,20773,44562
2005/6/11,19147,18078,37225
2005/6/12,20973,26535,47508
2005/6/13,13629,15648,29277
2005/6/14,11344,11758,23102
2005/6/15,11346,11349,22695
2005/6/16,10871,10996,21867
2005/6/17,17525,16194,33719
2005/6/18,18099,18179,36278
2005/6/19,17727,19208,36935
2005/6/20,12782,14202,26984
2005/6/21,12119,12344,24463
2005/6/22,10907,11852,22759
2005/6/23,10682,10685,21367
2005/6/24,16456,15326,31782
2005/6/25,19237,18875,38112
2005/6/26,18362,20476,38838
2005/6/27,13899,14204,28103
2005/6/28,13548,13954,27502
2005/6/29,14067,14565,28632
2005/6/30,16332,16821,33153
2005/7/1,19790,18949,38739
2005/7/2,19441,18785,38226
2005/7/3,19591,22040,41631
2005/7/4,15375,16997,32372
2005/7/5,14373,15414,29787
2005/7/6,14237,14906,29143
2005/7/7,13749,14448,28197
2005/7/8,18392,17346,35738
2005/7/9,19375,18896,38271
2005/7/10,20244,22917,43161
2005/7/11,15739,16170,31909
2005/7/12,14633,15715,30348
2005/7/13,15019,15734,30753
2005/7/14,13729,14053,27782
2005/7/15,19278,18266,37544
2005/7/16,18946,18999,37945
2005/7/17,15083,16669,31752
2005/7/18,492,808,1300
2005/7/19,10177,11755,21932
2005/7/20,12749,13500,26249
2005/7/21,14141,14346,28487
2005/7/22,17802,17023,34825
2005/7/23,19586,19465,39051
2005/7/24,19227,21925,41152
2005/7/25,14510,16087,30597
2005/7/26,13115,13773,26888
2005/7/27,13604,13872,27476
2005/7/28,13850,14099,27949
2005/7/29,17800,17201,35001
2005/7/30,18993,19236,38229
2005/7/31,19065,21653,40718
2005/8/1,13613,14949,28562
2005/8/2,12389,12723,25112
2005/8/3,13188,13632,26820
2005/8/4,11251,10879,22130
2005/8/5,11054,8864,19918
2005/8/6,17107,16371,33478
2005/8/7,17893,21826,39719
2005/8/8,13630,15083,28713
2005/8/9,13294,14396,27690
2005/8/10,14072,14526,28598
2005/8/11,15472,16432,31904
2005/8/12,18278,16968,35246
2005/8/13,18131,17995,36126
2005/8/14,19168,21901,41069
2005/8/15,14693,14725,29418
2005/8/16,14493,14801,29294
2005/8/17,14599,15312,29911
2005/8/18,15020,14288,29308
2005/8/19,17755,16529,34284
2005/8/20,20365,20197,40562
2005/8/21,19745,23343,43088
2005/8/22,15313,16432,31745
2005/8/23,15340,15944,31284
2005/8/24,14263,15444,29707
2005/8/25,14092,14183,28275
2005/8/26,19294,18208,37502
2005/8/27,21206,21132,42338
2005/8/28,19671,22458,42129
2005/8/29,14108,16175,30283
2005/8/30,12572,12758,25330
2005/8/31,9606,9452,19058
2005/9/1,1490,1547,3037
2005/9/2,16755,15919,32674
2005/9/3,18175,17547,35722
2005/9/4,17422,20294,37716
2005/9/5,14964,16052,31016
2005/9/6,13640,13546,27186
2005/9/7,12899,13371,26270
2005/9/8,13280,13604,26884
2005/9/9,19173,18270,37443
2005/9/10,18127,18386,36513
2005/9/11,17615,20921,38536
2005/9/12,13257,14785,28042
2005/9/13,11380,12443,23823
2005/9/14,12861,12732,25593
2005/9/15,12908,12851,25759
2005/9/16,22189,18820,41009
2005/9/17,21348,18984,40332
2005/9/18,20305,25340,45645
2005/9/19,14195,19228,33423
2005/9/20,12009,12950,24959
2005/9/21,11602,12370,23972
2005/9/22,12175,12042,24217
2005/9/23,18980,17884,36864
2005/9/24,19527,19182,38709
2005/9/25,20070,23681,43751
2005/9/26,12275,13822,26097
2005/9/27,10804,11294,22098
2005/9/28,11964,11797,23761
2005/9/29,11528,11664,23192
2005/9/30,19389,17208,36597
2005/10/1,17364,16850,34214
2005/10/2,6161,8316,14477
2005/10/3,12734,14289,27023
2005/10/4,11127,11501,22628
2005/10/5,12529,12070,24599
2005/10/6,12095,12832,24927
2005/10/7,22334,19950,42284
2005/10/8,21621,19894,41515
2005/10/9,20158,21636,41794
2005/10/10,21308,26731,48039
2005/10/11,13332,14809,28141
2005/10/12,12585,12371,24956
2005/10/13,12284,12395,24679
2005/10/14,21699,19272,40971
2005/10/15,21373,20979,42352
2005/10/16,22141,25864,48005
2005/10/17,13766,14816,28582
2005/10/18,9165,10094,19259
2005/10/19,9274,9440,18714
2005/10/20,9538,9473,19011
2005/10/21,18033,15871,33904
2005/10/22,20138,19294,39432
2005/10/23,19932,23519,43451
2005/10/24,9086,9859,18945
2005/10/25,8664,8858,17522
2005/10/26,8792,8992,17784
2005/10/27,8965,8915,17880
2005/10/28,16965,15005,31970
2005/10/29,18616,17373,35989
2005/10/30,18246,21866,40112
2005/10/31,9580,11711,21291
2005/11/1,8307,8629,16936
2005/11/2,8676,8677,17353
2005/11/3,12937,11836,24773
2005/11/4,20287,16722,37009
2005/11/5,20279,19274,39553
2005/11/6,20431,24161,44592
2005/11/7,13549,14542,28091
2005/11/8,11999,11350,23349
2005/11/9,12227,11472,23699
2005/11/10,12959,12377,25336
2005/11/11,21482,18613,40095
2005/11/12,21598,20941,42539
2005/11/13,21988,25817,47805
2005/11/14,14609,14991,29600
2005/11/15,12414,11650,24064
2005/11/16,12409,11702,24111
2005/11/17,12970,11948,24918
2005/11/18,22140,18875,41015
2005/11/19,21139,20864,42003
2005/11/20,21190,26103,47293
2005/11/21,13710,14391,28101
2005/11/22,11279,11040,22319
2005/11/23,9527,12139,21666
2005/11/24,12151,11886,24037
2005/11/25,20461,18075,38536
2005/11/26,20374,19669,40043
2005/11/27,19414,23434,42848
2005/11/28,13122,14230,27352
2005/11/29,11688,11545,23233
2005/11/30,12629,12336,24965
2005/12/1,13555,12642,26197
2005/12/2,22201,18367,40568
2005/12/3,21225,20408,41633
2005/12/4,20543,25635,46178
2005/12/5,12775,14882,27657
2005/12/6,11845,11761,23606
2005/12/7,12157,11995,24152
2005/12/8,13453,12576,26029
2005/12/9,21168,18656,39824
2005/12/10,22977,22733,45710
2005/12/11,20355,24496,44851
2005/12/12,11335,13512,24847
2005/12/13,9255,9529,18784
2005/12/14,9749,9683,19432
2005/12/15,9899,10193,20092
2005/12/16,15435,14657,30092
2005/12/17,13791,15236,29027
2005/12/18,18910,21481,40391
2005/12/19,13091,14971,28062
2005/12/20,12309,12342,24651
2005/12/21,12317,12135,24452
2005/12/22,12295,12209,24504
2005/12/23,20771,18395,39166
2005/12/24,21017,20715,41732
2005/12/25,22431,26475,48906
2005/12/26,13906,15555,29461
2005/12/27,12104,11802,23906
2005/12/28,12120,11815,23935
2005/12/29,12332,12048,24380
2005/12/30,20695,18011,38706
2005/12/31,20700,20921,41621
2006/1/1,20843,24338,45181
2006/1/2,13398,14811,28209
2006/1/3,12178,12026,24204
2006/1/4,12340,12151,24491
2006/1/5,12071,12268,24339
2006/1/6,18293,16345,34638
2006/1/7,16522,15926,32448
2006/1/8,15872,18991,34863
2006/1/9,12504,13704,26208
2006/1/10,11980,12081,24061
2006/1/11,12503,12772,25275
2006/1/12,13076,13170,26246
2006/1/13,19097,17416,36513
2006/1/14,18408,18087,36495
2006/1/15,17165,19267,36432
2006/1/16,13713,14784,28497
2006/1/17,12888,13506,26394
2006/1/18,13614,14119,27733
2006/1/19,13853,13892,27745
2006/1/20,19071,18753,37824
2006/1/21,17837,17449,35286
2006/1/22,15427,17184,32611
2006/1/23,14773,15921,30694
2006/1/24,14691,15550,30241
2006/1/25,15396,15874,31270
2006/1/26,16642,16324,32966
2006/1/27,18786,17164,35950
2006/1/28,12875,11148,24023
2006/1/29,16831,17197,34028
2006/1/30,18827,19934,38761
2006/1/31,22586,23934,46520
2006/2/1,22557,24226,46783
2006/2/2,21743,23328,45071
2006/2/3,20589,22744,43333
2006/2/4,19277,21378,40655
2006/2/5,20109,23455,43564
2006/2/6,16958,19108,36066
2006/2/7,16027,16612,32639
2006/2/8,16139,16398,32537
2006/2/9,16236,16743,32979
2006/2/10,18591,18460,37051
2006/2/11,20692,20436,41128
2006/2/12,18659,20829,39488
2006/2/13,15678,16974,32652
2006/2/14,16034,16467,32501
2006/2/15,14878,15149,30027
2006/2/16,14473,14938,29411
2006/2/17,18882,18051,36933
2006/2/18,18522,18772,37294
2006/2/19,17809,21164,38973
2006/2/20,14075,15227,29302
2006/2/21,13139,13094,26233
2006/2/22,13780,13725,27505
2006/2/23,13426,13306,26732
2006/2/24,21372,18913,40285
2006/2/25,21398,21157,42555
2006/2/26,18228,22007,40235
2006/2/27,16103,17489,33592
2006/2/28,19261,21241,40502
2006/3/1,11990,12690,24680
2006/3/2,12313,12329,24642
2006/3/3,20716,18510,39226
2006/3/4,19761,19410,39171
2006/3/5,20290,24466,44756
2006/3/6,14082,15673,29755
2006/3/7,12346,13154,25500
2006/3/8,13521,13745,27266
2006/3/9,13494,13810,27304
2006/3/10,21739,23062,44801
2006/3/11,25078,25484,50562
2006/3/12,24042,26813,50855
2006/3/13,14434,12788,27222
2006/3/14,12494,12981,25475
2006/3/15,12846,13035,25881
2006/3/16,13314,13262,26576
2006/3/17,21416,19027,40443
2006/3/18,21107,20461,41568
2006/3/19,20016,24344,44360
2006/3/20,13409,15016,28425
2006/3/21,12005,12466,24471
2006/3/22,12405,12611,25016
2006/3/23,12093,12598,24691
2006/3/24,19659,17396,37055
2006/3/25,18195,17772,35967
2006/3/26,17532,21275,38807
2006/3/27,12412,13962,26374
2006/3/28,12768,12677,25445
2006/3/29,12917,13278,26195
2006/3/30,13542,13511,27053
2006/3/31,22333,19484,41817
2006/4/1,22182,20666,42848
2006/4/2,19876,23825,43701
2006/4/3,14728,16886,31614
2006/4/4,16927,15918,32845
2006/4/5,20040,22653,42693
2006/4/6,14974,16400,31374
2006/4/7,20531,18772,39303
2006/4/8,20545,20274,40819
2006/4/9,21141,24514,45655
2006/4/10,10496,13345,23841
2006/4/11,10840,10165,21005
2006/4/12,12579,12703,25282
2006/4/13,12240,12096,24336
2006/4/14,18514,16855,35369
2006/4/15,16535,15206,31741
2006/4/16,17155,20289,37444
2006/4/17,13075,14186,27261
2006/4/18,12354,12083,24437
2006/4/19,12756,12676,25432
2006/4/20,14373,13829,28202
2006/4/21,21945,20303,42248
2006/4/22,22905,22463,45368
2006/4/23,22395,25967,48362
2006/4/24,14573,15782,30355
2006/4/25,13122,13152,26274
2006/4/26,12249,12614,24863
2006/4/27,12677,12682,25359
2006/4/28,19875,18224,38099
2006/4/29,21062,20104,41166
2006/4/30,22221,25105,47326
2006/5/1,17088,20412,37500
2006/5/2,11780,12329,24109
2006/5/3,12368,12521,24889
2006/5/4,13165,13190,26355
2006/5/5,21232,19300,40532
2006/5/6,21164,21464,42628
2006/5/7,21048,24386,45434
2006/5/8,14579,16702,31281
2006/5/9,13354,13705,27059
2006/5/10,13297,13455,26752
2006/5/11,14604,13956,28560
2006/5/12,25383,21646,47029
2006/5/13,21557,19947,41504
2006/5/14,20311,26993,47304
2006/5/15,14833,17939,32772
2006/5/16,12665,13931,26596
2006/5/17,12055,12446,24501
2006/5/18,12979,12818,25797
2006/5/19,19933,18201,38134
2006/5/20,21194,21261,42455
2006/5/21,21218,24311,45529
2006/5/22,14317,15672,29989
2006/5/23,11873,12087,23960
2006/5/24,12448,12626,25074
2006/5/25,13324,13381,26705
2006/5/26,21227,19320,40547
2006/5/27,20439,19963,40402
2006/5/28,15453,19368,34821
2006/5/29,11394,11509,22903
2006/5/30,15230,14158,29388
2006/5/31,16253,17280,33533
2006/6/1,13596,14698,28294
2006/6/2,18776,17074,35850
2006/6/3,19148,18901,38049
2006/6/4,17809,21198,39007
2006/6/5,13174,14949,28123
2006/6/6,12421,12973,25394
2006/6/7,12062,12589,24651
2006/6/8,13646,13404,27050
2006/6/9,20095,18083,38178
2006/6/10,15108,14616,29724
2006/6/11,19859,23513,43372
2006/6/12,14909,15952,30861
2006/6/13,12508,13436,25944
2006/6/14,12816,13520,26336
2006/6/15,12657,13418,26075
2006/6/16,18419,17557,35976
2006/6/17,19008,19096,38104
2006/6/18,18543,21741,40284
2006/6/19,13582,15300,28882
2006/6/20,13322,14079,27401
2006/6/21,13219,13783,27002
2006/6/22,13653,13825,27478
2006/6/23,18900,18607,37507
2006/6/24,20013,19356,39369
2006/6/25,18815,21416,40231
2006/6/26,13624,15081,28705
2006/6/27,11628,12104,23732
2006/6/28,11905,13255,25160
2006/6/29,12551,12912,25463
2006/6/30,18299,17494,35793
2006/7/1,19015,18457,37472
2006/7/2,18600,20833,39433
2006/7/3,13974,15195,29169
2006/7/4,15569,16245,31814
2006/7/5,14820,15921,30741
2006/7/6,15612,16780,32392
2006/7/7,20220,19897,40117
2006/7/8,20166,19860,40026
2006/7/9,19025,22390,41415
2006/7/10,15030,16533,31563
2006/7/11,14527,15457,29984
2006/7/12,15549,15834,31383
2006/7/13,10138,10501,20639
2006/7/14,13309,12606,25915
2006/7/15,16114,15692,31806
2006/7/16,18489,21042,39531
2006/7/17,15805,17135,32940
2006/7/18,14666,15361,30027
2006/7/19,14762,15370,30132
2006/7/20,15471,15814,31285
2006/7/21,20720,19616,40336
2006/7/22,20941,20824,41765
2006/7/23,20237,23330,43567
2006/7/24,14449,16376,30825
2006/7/25,9695,10395,20090
2006/7/26,12825,13359,26184
2006/7/27,14099,14503,28602
2006/7/28,19186,18840,38026
2006/7/29,19585,19870,39455
2006/7/30,19772,22662,42434
2006/7/31,16847,18710,35557
2006/8/1,14351,14981,29332
2006/8/2,14170,14575,28745
2006/8/3,14648,14704,29352
2006/8/4,19294,18036,37330
2006/8/5,20234,19049,39283
2006/8/6,18937,22573,41510
2006/8/7,15285,17003,32288
2006/8/8,13590,13553,27143
2006/8/9,14518,15697,30215
2006/8/10,12372,13675,26047
2006/8/11,18808,16816,35624
2006/8/12,22004,21855,43859
2006/8/13,21336,24647,45983
2006/8/14,16571,18120,34691
2006/8/15,16138,16544,32682
2006/8/16,15569,16206,31775
2006/8/17,14951,15812,30763
2006/8/18,18243,16956,35199
2006/8/19,20602,20265,40867
2006/8/20,21469,24903,46372
2006/8/21,17970,19381,37351
2006/8/22,17120,16708,33828
2006/8/23,14861,15652,30513
2006/8/24,14651,15235,29886
2006/8/25,19751,19264,39015
2006/8/26,21295,21380,42675
2006/8/27,20688,23064,43752
2006/8/28,16202,18232,34434
2006/8/29,14238,15242,29480
2006/8/30,14409,14735,29144
2006/8/31,14145,14169,28314
2006/9/1,18848,17997,36845
2006/9/2,19115,18556,37671
2006/9/3,18256,21602,39858
2006/9/4,15490,16618,32108
2006/9/5,13895,14327,28222
2006/9/6,13938,14226,28164
2006/9/7,14162,14534,28696
2006/9/8,20348,19701,40049
2006/9/9,20863,21152,42015
2006/9/10,17342,21299,38641
2006/9/11,14734,17366,32100
2006/9/12,13822,15154,28976
2006/9/13,13623,15229,28852
2006/9/14,13329,15322,28651
2006/9/15,22227,20853,43080
2006/9/16,17816,16864,34680
2006/9/17,19530,24341,43871
2006/9/18,13471,15021,28492
2006/9/19,12479,12526,25005
2006/9/20,12873,12948,25821
2006/9/21,12558,12779,25337
2006/9/22,20870,18960,39830
2006/9/23,20469,19950,40419
2006/9/24,21018,24865,45883
2006/9/25,13239,14711,27950
2006/9/26,12340,12517,24857
2006/9/27,12542,12827,25369
2006/9/28,13110,13240,26350
2006/9/29,19388,18015,37403
2006/9/30,18177,17938,36115
2006/10/1,18310,21560,39870
2006/10/2,13086,14261,27347
2006/10/3,13804,12818,26622
2006/10/4,13287,13155,26442
2006/10/5,23555,21473,45028
2006/10/6,23966,20556,44522
2006/10/7,20147,21347,41494
2006/10/8,22010,25316,47326
2006/10/9,20809,24513,45322
2006/10/10,21357,25442,46799
2006/10/11,13697,15674,29371
2006/10/12,12492,12908,25400
2006/10/13,17791,16058,33849
2006/10/14,19238,18394,37632
2006/10/15,20088,23150,43238
2006/10/16,13759,14786,28545
2006/10/17,12930,13156,26086
2006/10/18,13233,13201,26434
2006/10/19,13065,13312,26377
2006/10/20,20664,18732,39396
2006/10/21,22237,21540,43777
2006/10/22,21321,24960,46281
2006/10/23,13422,14928,28350
2006/10/24,12635,12874,25509
2006/10/25,12682,12846,25528
2006/10/26,13368,12821,26189
2006/10/27,20063,18086,38149
2006/10/28,21006,20208,41214
2006/10/29,20860,24973,45833
2006/10/30,13580,14986,28566
2006/10/31,12390,12646,25036
2006/11/1,12465,12491,24956
2006/11/2,12351,12457,24808
2006/11/3,19530,17547,37077
2006/11/4,19387,18881,38268
2006/11/5,18130,22148,40278
2006/11/6,13339,14817,28156
2006/11/7,12263,12891,25154
2006/11/8,12157,12344,24501
2006/11/9,13654,13940,27594
2006/11/10,20364,18707,39071
2006/11/11,21557,21073,42630
2006/11/12,20432,24205,44637
2006/11/13,14237,15887,30124
2006/11/14,11980,12335,24315
2006/11/15,12298,12545,24843
2006/11/16,13306,13603,26909
2006/11/17,20924,18760,39684
2006/11/18,20860,20678,41538
2006/11/19,20740,24762,45502
2006/11/20,13666,15168,28834
2006/11/21,11647,11889,23536
2006/11/22,12089,12249,24338
2006/11/23,13058,13380,26438
2006/11/24,20005,18921,38926
2006/11/25,19755,19725,39480
2006/11/26,19609,24039,43648
2006/11/27,13116,14789,27905
2006/11/28,11079,11350,22429
2006/11/29,13727,12946,26673
2006/11/30,13010,13026,26036
2006/12/1,20648,18034,38682
2006/12/2,20312,19158,39470
2006/12/3,20459,24208,44667
2006/12/4,13400,15220,28620
2006/12/5,12512,12958,25470
2006/12/6,13225,13534,26759
2006/12/7,13888,13951,27839
2006/12/8,21142,19330,40472
2006/12/9,23581,22489,46070
2006/12/10,21940,25756,47696
2006/12/11,13857,15947,29804
2006/12/12,12444,13423,25867
2006/12/13,12713,12847,25560
2006/12/14,11929,12307,24236
2006/12/15,19833,18216,38049
2006/12/16,16864,15596,32460
2006/12/17,19648,23359,43007
2006/12/18,13364,15040,28404
2006/12/19,9989,11371,21360
2006/12/20,9402,9624,19026
2006/12/21,9996,9798,19794
2006/12/22,22258,20477,42735
2006/12/23,21695,21648,43343
2006/12/24,22196,26113,48309
2006/12/25,15952,17832,33784
2006/12/26,13236,13742,26978
2006/12/27,13511,13518,27029
2006/12/28,12339,13010,25349
2006/12/29,21468,19689,41157
2006/12/30,21246,20497,41743
2006/12/31,22650,23909,46559
2007/1/1,22275,27126,49401
2007/1/2,13996,15590,29586
2007/1/3,11597,11938,23535
2007/1/4,12092,11940,24032
2007/1/5,17859,16675,34534
2007/1/6,17002,16015,33017
2007/1/7,16046,18243,34289
2007/1/8,12331,13412,25743
2007/1/9,11600,12080,23680
2007/1/10,12059,12350,24409
2007/1/11,12901,13106,26007
2007/1/12,18807,17039,35846
2007/1/13,18186,17315,35501
2007/1/14,17874,20108,37982
2007/1/15,12981,15212,28193
2007/1/16,12439,12902,25341
2007/1/17,11394,11715,23109
2007/1/18,12516,12179,24695
2007/1/19,17649,16444,34093
2007/1/20,18304,17797,36101
2007/1/21,16967,19380,36347
2007/1/22,13317,14787,28104
2007/1/23,12759,13105,25864
2007/1/24,13011,13290,26301
2007/1/25,13195,13466,26661
2007/1/26,19082,18614,37696
2007/1/27,17929,17585,35514
2007/1/28,18466,20751,39217
2007/1/29,13911,15303,29214
2007/1/30,13510,14212,27722
2007/1/31,14356,14593,28949
2007/2/1,13600,14439,28039
2007/2/2,17626,16712,34338
2007/2/3,19320,18127,37447
2007/2/4,17993,20883,38876
