trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt,totalPass
2023/11/1,1210,16337,16178,32515
2023/11/2,1210,16726,16493,33219
2023/11/3,1210,24420,22944,47364
2023/11/4,1210,25131,24691,49822
2023/11/5,1210,24923,26719,51642
2023/11/6,1210,17553,18273,35826
2023/11/7,1210,16521,16464,32985
2023/11/8,1210,17326,17106,34432
2023/11/9,1210,17629,17631,35260
2023/11/10,1210,25237,24099,49336
2023/11/11,1210,27583,27140,54723
2023/11/12,1210,26554,27844,54398
2023/11/13,1210,17907,18102,36009
2023/11/14,1210,16674,16576,33250
2023/11/15,1210,17687,17422,35109
2023/11/16,1210,16906,16556,33462
2023/11/17,1210,24703,23590,48293
2023/11/18,1210,25706,25454,51160
2023/11/19,1210,25369,26533,51902
2023/11/20,1210,18438,19098,37536
2023/11/21,1210,16766,16612,33378
2023/11/22,1210,17217,17013,34230
2023/11/23,1210,18117,17655,35772
2023/11/24,1210,25080,23525,48605
2023/11/25,1210,24842,24200,49042
2023/11/26,1210,24484,26237,50721
2023/11/27,1210,17651,18394,36045
2023/11/28,1210,16668,16366,33034
2023/11/29,1210,16935,17048,33983
2023/11/30,1210,18085,17689,35774