trnOpDate,gateInComingCnt,gateOutGoingCnt,totalPass
2005/1/1,3621,5046,8667
2005/1/2,4888,5350,10238
2005/1/3,2964,3335,6299
2005/1/4,2416,2348,4764
2005/1/5,2678,2565,5243
2005/1/6,2963,2639,5602
2005/1/7,4764,4128,8892
2005/1/8,4441,4506,8947
2005/1/9,5348,5489,10837
2005/1/10,3083,3404,6487
2005/1/11,2265,2169,4434
2005/1/12,2555,2252,4807
2005/1/13,2254,1938,4192
2005/1/14,3417,3271,6688
2005/1/15,2868,3237,6105
2005/1/16,3599,3725,7324
2005/1/17,2400,2668,5068
2005/1/18,2513,2514,5027
2005/1/19,3096,2888,5984
2005/1/20,4389,3591,7980
2005/1/21,4624,4429,9053
2005/1/22,4499,4399,8898
2005/1/23,4921,4766,9687
2005/1/24,3614,3385,6999
2005/1/25,3071,3100,6171
2005/1/26,3200,3140,6340
2005/1/27,3185,3061,6246
2005/1/28,3976,3852,7828
2005/1/29,3870,4034,7904
2005/1/30,4691,4441,9132
2005/1/31,3411,3495,6906
2005/2/1,3106,3057,6163
2005/2/2,2856,2800,5656
2005/2/3,3169,3020,6189
2005/2/4,3654,3496,7150
2005/2/5,4181,4505,8686
2005/2/6,3933,4038,7971
2005/2/7,3447,3837,7284
2005/2/8,2805,3108,5913
2005/2/9,5308,4986,10294
2005/2/10,5606,5508,11114
2005/2/11,6699,5975,12674
2005/2/12,6127,5590,11717
2005/2/13,6125,5410,11535
2005/2/14,4590,4368,8958
2005/2/15,3605,3265,6870
2005/2/16,3271,3170,6441
2005/2/17,3348,3117,6465
2005/2/18,3749,3932,7681
2005/2/19,3863,4082,7945
2005/2/20,4419,4339,8758
2005/2/21,2847,2839,5686
2005/2/22,2686,2631,5317
2005/2/23,3396,3251,6647
2005/2/24,3432,2775,6207
2005/2/25,5734,4843,10577
2005/2/26,4080,4690,8770
2005/2/27,4556,4346,8902
2005/2/28,5625,5870,11495
2005/3/1,2934,3069,6003
2005/3/2,2548,2435,4983
2005/3/3,2657,2212,4869
2005/3/4,5181,4155,9336
2005/3/5,4242,4455,8697
2005/3/6,5409,5855,11264
2005/3/7,3124,3444,6568
2005/3/8,2656,2550,5206
2005/3/9,2961,2925,5886
2005/3/10,3087,2632,5719
2005/3/11,5653,4682,10335
2005/3/12,3833,3974,7807
2005/3/13,5672,5975,11647
2005/3/14,3117,3427,6544
2005/3/15,2666,2618,5284
2005/3/16,3013,2783,5796
2005/3/17,3029,2658,5687
2005/3/18,5551,4602,10153
2005/3/19,4731,4649,9380
2005/3/20,5856,6210,12066
2005/3/21,3130,3393,6523
2005/3/22,2689,2551,5240
2005/3/23,2870,3078,5948
2005/3/24,3220,2681,5901
2005/3/25,5693,4421,10114
2005/3/26,4649,4832,9481
2005/3/27,5977,6259,12236
2005/3/28,3222,3488,6710
2005/3/29,2425,2372,4797
2005/3/30,2732,2968,5700
2005/3/31,2968,2564,5532
2005/4/1,6207,5180,11387
2005/4/2,4968,5369,10337
2005/4/3,5445,5139,10584
2005/4/4,4495,4866,9361
2005/4/5,6599,6845,13444
2005/4/6,4018,3912,7930
2005/4/7,3347,2892,6239
2005/4/8,5216,4301,9517
2005/4/9,4651,4683,9334
2005/4/10,5839,6287,12126
2005/4/11,3183,3421,6604
2005/4/12,2653,2628,5281
2005/4/13,2707,2553,5260
2005/4/14,3002,2665,5667
2005/4/15,5079,4465,9544
2005/4/16,4992,5204,10196
2005/4/17,5958,6050,12008
2005/4/18,3219,3323,6542
2005/4/19,2706,2378,5084
2005/4/20,3298,2719,6017
2005/4/21,3226,2712,5938
2005/4/22,5443,4475,9918
2005/4/23,4825,4999,9824
2005/4/24,5797,6287,12084
2005/4/25,3196,3690,6886
2005/4/26,2561,2387,4948
2005/4/27,2768,2732,5500
2005/4/28,3225,2655,5880
2005/4/29,5529,4703,10232
2005/4/30,5001,5238,10239
2005/5/1,5805,6269,12074
2005/5/2,3266,3451,6717
2005/5/3,2784,2691,5475
2005/5/4,2803,2674,5477
2005/5/5,3379,2891,6270
2005/5/6,6203,5525,11728
2005/5/7,5598,6117,11715
2005/5/8,7120,6609,13729
2005/5/9,3708,3957,7665
2005/5/10,2712,2513,5225
2005/5/11,3022,2783,5805
2005/5/12,2341,2099,4440
2005/5/13,5029,4333,9362
2005/5/14,3536,3748,7284
2005/5/15,4612,5083,9695
2005/5/16,3341,3584,6925
2005/5/17,2783,2710,5493
2005/5/18,2824,2758,5582
2005/5/19,3134,2724,5858
2005/5/20,5450,4620,10070
2005/5/21,4736,4864,9600
2005/5/22,5830,6032,11862
2005/5/23,4801,5143,9944
2005/5/24,3361,3114,6475
2005/5/25,3837,3771,7608
2005/5/26,4223,3733,7956
2005/5/27,6560,5900,12460
2005/5/28,5444,5530,10974
2005/5/29,6677,6562,13239
2005/5/30,4356,4670,9026
2005/5/31,3924,3945,7869
2005/6/1,4282,4245,8527
2005/6/2,4165,3663,7828
2005/6/3,5948,5321,11269
2005/6/4,5690,5543,11233
2005/6/5,6261,6193,12454
2005/6/6,3335,3456,6791
2005/6/7,3295,3730,7025
2005/6/8,4281,4055,8336
2005/6/9,4193,4073,8266
2005/6/10,7204,7712,14916
2005/6/11,6179,6016,12195
2005/6/12,7610,6458,14068
2005/6/13,4653,4851,9504
2005/6/14,3870,3747,7617
2005/6/15,3782,3841,7623
2005/6/16,3692,3351,7043
2005/6/17,5451,4881,10332
2005/6/18,4914,4706,9620
2005/6/19,5368,5446,10814
2005/6/20,4392,4563,8955
2005/6/21,4168,3957,8125
2005/6/22,3831,3172,7003
2005/6/23,3123,2937,6060
2005/6/24,4468,4301,8769
2005/6/25,4450,4542,8992
2005/6/26,5023,4686,9709
2005/6/27,3919,4146,8065
2005/6/28,3897,3835,7732
2005/6/29,4335,4046,8381
2005/6/30,4891,4708,9599
2005/7/1,5169,5238,10407
2005/7/2,5028,4879,9907
2005/7/3,5471,5040,10511
2005/7/4,4682,4683,9365
2005/7/5,4312,4347,8659
2005/7/6,4313,4138,8451
2005/7/7,3909,3663,7572
2005/7/8,4935,4851,9786
2005/7/9,4793,4883,9676
2005/7/10,5550,5040,10590
2005/7/11,4409,4707,9116
2005/7/12,4398,4565,8963
2005/7/13,4477,4612,9089
2005/7/14,4181,4043,8224
2005/7/15,5057,5284,10341
2005/7/16,4967,5017,9984
2005/7/17,4702,4388,9090
2005/7/18,46,39,85
2005/7/19,3086,2871,5957
2005/7/20,4359,4164,8523
2005/7/21,4520,4218,8738
2005/7/22,5159,4995,10154
2005/7/23,5247,5208,10455
2005/7/24,5648,5531,11179
2005/7/25,4363,4417,8780
2005/7/26,3900,3775,7675
2005/7/27,4144,3847,7991
2005/7/28,3962,3947,7909
2005/7/29,4895,4821,9716
2005/7/30,5011,5066,10077
2005/7/31,5546,4982,10528
2005/8/1,4260,4205,8465
2005/8/2,3659,3506,7165
2005/8/3,4112,4037,8149
2005/8/4,3611,3475,7086
2005/8/5,2566,2791,5357
2005/8/6,4749,4865,9614
2005/8/7,5774,5214,10988
2005/8/8,4304,4330,8634
2005/8/9,4101,4234,8335
2005/8/10,4596,4418,9014
2005/8/11,4990,4912,9902
2005/8/12,4920,5495,10415
2005/8/13,4863,4958,9821
2005/8/14,5727,5279,11006
2005/8/15,4104,4269,8373
2005/8/16,4529,4381,8910
2005/8/17,4374,4372,8746
2005/8/18,4448,4378,8826
2005/8/19,5000,5629,10629
2005/8/20,5741,5709,11450
2005/8/21,6010,5442,11452
2005/8/22,4615,4719,9334
2005/8/23,4435,4404,8839
2005/8/24,4348,4432,8780
2005/8/25,4161,3819,7980
2005/8/26,5227,5163,10390
2005/8/27,5025,5035,10060
2005/8/28,5679,5156,10835
2005/8/29,4328,4029,8357
2005/8/30,4000,4005,8005
2005/8/31,3214,3436,6650
2005/9/1,304,287,591
2005/9/2,5026,5197,10223
2005/9/3,5016,5094,10110
2005/9/4,5338,5120,10458
2005/9/5,5163,4878,10041
2005/9/6,4917,4389,9306
2005/9/7,4168,3770,7938
2005/9/8,4489,4080,8569
2005/9/9,4907,5470,10377
2005/9/10,4767,5170,9937
2005/9/11,5530,5351,10881
2005/9/12,4494,4514,9008
2005/9/13,3553,3459,7012
2005/9/14,4125,3920,8045
2005/9/15,4307,4624,8931
2005/9/16,6466,6501,12967
2005/9/17,5626,6456,12082
2005/9/18,7133,6501,13634
2005/9/19,5142,5046,10188
2005/9/20,4242,4411,8653
2005/9/21,4242,4372,8614
2005/9/22,4345,4259,8604
2005/9/23,6501,6027,12528
2005/9/24,5167,5410,10577
2005/9/25,6484,6459,12943
2005/9/26,4322,4831,9153
2005/9/27,3877,3811,7688
2005/9/28,4290,4400,8690
2005/9/29,4140,3981,8121
2005/9/30,6765,5683,12448
2005/10/1,5090,5232,10322
2005/10/2,1795,2116,3911
2005/10/3,4728,5046,9774
2005/10/4,3886,3847,7733
2005/10/5,4454,4436,8890
2005/10/6,4686,3947,8633
2005/10/7,7018,6506,13524
2005/10/8,5780,6201,11981
2005/10/9,5515,5503,11018
2005/10/10,7138,6654,13792
2005/10/11,4960,4862,9822
2005/10/12,4363,4242,8605
2005/10/13,4525,4349,8874
2005/10/14,7467,6628,14095
2005/10/15,5729,5723,11452
2005/10/16,6847,7030,13877
2005/10/17,4890,5252,10142
2005/10/18,3168,2874,6042
2005/10/19,2741,2733,5474
2005/10/20,2805,2610,5415
2005/10/21,5433,4787,10220
2005/10/22,5105,4991,10096
2005/10/23,5952,6064,12016
2005/10/24,2960,2844,5804
2005/10/25,2519,2432,4951
2005/10/26,2642,2801,5443
2005/10/27,2656,2443,5099
2005/10/28,5460,4442,9902
2005/10/29,4673,4536,9209
2005/10/30,5612,5743,11355
2005/10/31,3053,3244,6297
2005/11/1,2356,2306,4662
2005/11/2,2486,2620,5106
2005/11/3,4357,4649,9006
2005/11/4,6283,6204,12487
2005/11/5,5405,5544,10949
2005/11/6,6390,6127,12517
2005/11/7,4629,4950,9579
2005/11/8,3996,4216,8212
2005/11/9,4026,4304,8330
2005/11/10,4629,4626,9255
2005/11/11,7196,6748,13944
2005/11/12,6292,6404,12696
2005/11/13,6965,7127,14092
2005/11/14,4764,5458,10222
2005/11/15,4129,4361,8490
2005/11/16,4269,4526,8795
2005/11/17,4201,4402,8603
2005/11/18,5726,7031,12757
2005/11/19,7093,6285,13378
2005/11/20,7325,6160,13485
2005/11/21,4801,5490,10291
2005/11/22,3941,4263,8204
2005/11/23,4704,3638,8342
2005/11/24,4721,4094,8815
2005/11/25,6977,6152,13129
2005/11/26,5429,5330,10759
2005/11/27,6211,6545,12756
2005/11/28,4614,4964,9578
2005/11/29,3998,4067,8065
2005/11/30,4604,4667,9271
2005/12/1,4936,5024,9960
2005/12/2,7250,6927,14177
2005/12/3,6154,6115,12269
2005/12/4,7260,6855,14115
2005/12/5,4857,5221,10078
2005/12/6,4094,4066,8160
2005/12/7,4595,4430,9025
2005/12/8,5021,4967,9988
2005/12/9,7117,6288,13405
2005/12/10,6695,6498,13193
2005/12/11,6868,6972,13840
2005/12/12,4501,4640,9141
2005/12/13,3466,3491,6957
2005/12/14,3502,3748,7250
2005/12/15,3895,3728,7623
2005/12/16,6050,5111,11161
2005/12/17,4107,3971,8078
2005/12/18,5452,6377,11829
2005/12/19,4941,5126,10067
2005/12/20,4380,4438,8818
2005/12/21,4376,4537,8913
2005/12/22,4434,4229,8663
2005/12/23,6603,6581,13184
2005/12/24,5952,5697,11649
2005/12/25,6731,6722,13453
2005/12/26,4756,5135,9891
2005/12/27,4131,4181,8312
2005/12/28,4034,4258,8292
2005/12/29,4320,4250,8570
2005/12/30,6745,6013,12758
2005/12/31,6912,5324,12236
2006/1/1,5957,7247,13204
2006/1/2,4736,5338,10074
2006/1/3,4212,4398,8610
2006/1/4,4183,4449,8632
2006/1/5,4603,4333,8936
2006/1/6,5946,5695,11641
2006/1/7,4797,4704,9501
2006/1/8,5133,5221,10354
2006/1/9,4353,4751,9104
2006/1/10,4176,4352,8528
2006/1/11,4385,4366,8751
2006/1/12,4728,4569,9297
2006/1/13,5970,5901,11871
2006/1/14,4913,4926,9839
2006/1/15,5030,4772,9802
2006/1/16,4663,4850,9513
2006/1/17,3994,3869,7863
2006/1/18,4265,4289,8554
2006/1/19,4473,4442,8915
2006/1/20,5759,5982,11741
2006/1/21,4625,4907,9532
2006/1/22,4443,4331,8774
2006/1/23,4670,4566,9236
2006/1/24,4514,4242,8756
2006/1/25,4649,4556,9205
2006/1/26,5174,4912,10086
2006/1/27,5129,5590,10719
2006/1/28,3445,3853,7298
2006/1/29,5095,4774,9869
2006/1/30,5729,5637,11366
2006/1/31,6503,5954,12457
2006/2/1,6307,5783,12090
2006/2/2,5872,5496,11368
2006/2/3,5599,5470,11069
2006/2/4,5005,5041,10046
2006/2/5,5464,5166,10630
2006/2/6,5851,5583,11434
2006/2/7,5182,5174,10356
2006/2/8,5100,4917,10017
2006/2/9,5057,4963,10020
2006/2/10,5644,5464,11108
2006/2/11,5410,5434,10844
2006/2/12,5215,4800,10015
2006/2/13,5255,5372,10627
2006/2/14,4896,4978,9874
2006/2/15,4630,4653,9283
2006/2/16,4816,4769,9585
2006/2/17,5520,5876,11396
2006/2/18,4767,5207,9974
2006/2/19,5963,5078,11041
2006/2/20,5172,5126,10298
2006/2/21,4612,4579,9191
2006/2/22,4789,4740,9529
2006/2/23,4685,4742,9427
2006/2/24,6926,6811,13737
2006/2/25,5561,5697,11258
2006/2/26,6104,5643,11747
2006/2/27,5622,5557,11179
2006/2/28,5077,5476,10553
2006/3/1,4343,4462,8805
2006/3/2,4487,4469,8956
2006/3/3,6997,6267,13264
2006/3/4,5259,5281,10540
2006/3/5,6299,6369,12668
2006/3/6,4989,5289,10278
2006/3/7,4463,4523,8986
2006/3/8,4834,4824,9658
2006/3/9,4787,4648,9435
2006/3/10,7018,6625,13643
2006/3/11,6063,6095,12158
2006/3/12,6834,6546,13380
2006/3/13,3472,5127,8599
2006/3/14,4674,4521,9195
2006/3/15,4540,4737,9277
2006/3/16,4843,4672,9515
2006/3/17,7219,6458,13677
2006/3/18,5635,5667,11302
2006/3/19,6240,6498,12738
2006/3/20,4739,5120,9859
2006/3/21,4358,4429,8787
2006/3/22,4588,4608,9196
2006/3/23,4865,4463,9328
2006/3/24,6800,6094,12894
2006/3/25,5116,5090,10206
2006/3/26,5600,5994,11594
2006/3/27,4437,4849,9286
2006/3/28,4299,4489,8788
2006/3/29,4628,4666,9294
2006/3/30,5012,4843,9855
2006/3/31,7567,6899,14466
2006/4/1,5849,5786,11635
2006/4/2,6081,5966,12047
2006/4/3,5110,4980,10090
2006/4/4,4487,5522,10009
2006/4/5,6247,6361,12608
2006/4/6,5872,5470,11342
2006/4/7,6917,6065,12982
2006/4/8,5703,5599,11302
2006/4/9,6550,6591,13141
2006/4/10,3823,3396,7219
2006/4/11,3109,3390,6499
2006/4/12,4206,4648,8854
2006/4/13,4167,4188,8355
2006/4/14,5823,5780,11603
2006/4/15,4267,4578,8845
2006/4/16,5366,5668,11034
2006/4/17,4336,4890,9226
2006/4/18,3993,4518,8511
2006/4/19,4076,4539,8615
2006/4/20,4532,4773,9305
2006/4/21,6959,6618,13577
2006/4/22,5504,5922,11426
2006/4/23,6852,6724,13576
2006/4/24,4675,5347,10022
2006/4/25,4164,4526,8690
2006/4/26,3936,4193,8129
2006/4/27,4962,4384,9346
2006/4/28,7271,6240,13511
2006/4/29,5755,5738,11493
2006/4/30,6205,6328,12533
2006/5/1,5657,6132,11789
2006/5/2,4344,4437,8781
2006/5/3,4399,4541,8940
2006/5/4,4858,4625,9483
2006/5/5,7076,6505,13581
2006/5/6,5623,5681,11304
2006/5/7,6295,6285,12580
2006/5/8,5203,5619,10822
2006/5/9,4773,4679,9452
2006/5/10,4699,4724,9423
2006/5/11,5230,5051,10281
2006/5/12,7882,7642,15524
2006/5/13,5818,6293,12111
2006/5/14,7362,6530,13892
2006/5/15,5774,5811,11585
2006/5/16,4629,4534,9163
2006/5/17,4244,4487,8731
2006/5/18,4862,5304,10166
2006/5/19,6781,6051,12832
2006/5/20,5553,5346,10899
2006/5/21,6089,6126,12215
2006/5/22,5015,5164,10179
2006/5/23,4306,4376,8682
2006/5/24,4320,4411,8731
2006/5/25,4744,4477,9221
2006/5/26,7071,6396,13467
2006/5/27,4987,5028,10015
2006/5/28,5117,4949,10066
2006/5/29,3372,3851,7223
2006/5/30,5025,5163,10188
2006/5/31,5035,4596,9631
2006/6/1,4777,4827,9604
2006/6/2,5630,5872,11502
2006/6/3,5331,5203,10534
2006/6/4,5543,5426,10969
2006/6/5,4657,5073,9730
2006/6/6,4111,4406,8517
2006/6/7,4206,4423,8629
2006/6/8,4454,4804,9258
2006/6/9,6049,6290,12339
2006/6/10,5233,5613,10846
2006/6/11,6434,6088,12522
2006/6/12,5121,5691,10812
2006/6/13,4276,4503,8779
2006/6/14,4254,4358,8612
2006/6/15,4125,4272,8397
2006/6/16,6045,5721,11766
2006/6/17,5167,5220,10387
2006/6/18,5496,5490,10986
2006/6/19,4528,5008,9536
2006/6/20,4110,4345,8455
2006/6/21,4419,4518,8937
2006/6/22,4211,4407,8618
2006/6/23,5754,5649,11403
2006/6/24,4899,4997,9896
2006/6/25,5154,5059,10213
2006/6/26,4454,4583,9037
2006/6/27,3146,3069,6215
2006/6/28,3487,3055,6542
2006/6/29,3472,3263,6735
2006/6/30,4865,4984,9849
2006/7/1,4410,4522,8932
2006/7/2,5205,4793,9998
2006/7/3,4070,3867,7937
2006/7/4,4921,4439,9360
2006/7/5,4611,4293,8904
2006/7/6,4655,4401,9056
2006/7/7,5647,5443,11090
2006/7/8,5133,4975,10108
2006/7/9,5377,5062,10439
2006/7/10,4921,4880,9801
2006/7/11,4339,4215,8554
2006/7/12,4680,4551,9231
2006/7/13,3156,3096,6252
2006/7/14,3333,3437,6770
2006/7/15,4140,4048,8188
2006/7/16,5479,5031,10510
2006/7/17,5009,4967,9976
2006/7/18,4498,4312,8810
2006/7/19,4717,4527,9244
2006/7/20,4579,4404,8983
2006/7/21,5976,5838,11814
2006/7/22,5605,5633,11238
2006/7/23,5691,5268,10959
2006/7/24,4950,4984,9934
2006/7/25,3069,3081,6150
2006/7/26,4203,4127,8330
2006/7/27,4612,4488,9100
2006/7/28,5790,5587,11377
2006/7/29,5085,5161,10246
2006/7/30,5594,5218,10812
2006/7/31,5470,5232,10702
2006/8/1,4536,4490,9026
2006/8/2,4427,4409,8836
2006/8/3,4436,4427,8863
2006/8/4,5446,5559,11005
2006/8/5,5074,5244,10318
2006/8/6,5813,5278,11091
2006/8/7,5137,5206,10343
2006/8/8,4162,4426,8588
2006/8/9,4859,4651,9510
2006/8/10,4218,3822,8040
2006/8/11,5114,5615,10729
2006/8/12,5601,5697,11298
2006/8/13,5984,5648,11632
2006/8/14,5343,5188,10531
2006/8/15,5178,5061,10239
2006/8/16,4816,4696,9512
2006/8/17,4858,4417,9275
2006/8/18,4646,4744,9390
2006/8/19,5382,5463,10845
2006/8/20,5810,5609,11419
2006/8/21,5177,5032,10209
2006/8/22,4606,4917,9523
2006/8/23,4515,4341,8856
2006/8/24,4374,4354,8728
2006/8/25,5687,5480,11167
2006/8/26,5315,5445,10760
2006/8/27,5693,5245,10938
2006/8/28,4842,4703,9545
2006/8/29,4300,4100,8400
2006/8/30,4837,4677,9514
2006/8/31,4838,4720,9558
2006/9/1,5532,5615,11147
2006/9/2,4858,4742,9600
2006/9/3,5053,4906,9959
2006/9/4,5454,5262,10716
2006/9/5,4596,4539,9135
2006/9/6,4741,4764,9505
2006/9/7,4549,4558,9107
2006/9/8,5849,6063,11912
2006/9/9,5520,5507,11027
2006/9/10,5324,4952,10276
2006/9/11,5344,5051,10395
2006/9/12,4778,4482,9260
2006/9/13,4937,4850,9787
2006/9/14,4903,4284,9187
2006/9/15,6813,6287,13100
2006/9/16,4950,4856,9806
2006/9/17,6105,5212,11317
2006/9/18,4952,4836,9788
2006/9/19,4303,4363,8666
2006/9/20,4386,4245,8631
2006/9/21,4335,4415,8750
2006/9/22,5875,6664,12539
2006/9/23,5218,5697,10915
2006/9/24,6572,5816,12388
2006/9/25,4738,4699,9437
2006/9/26,4474,4535,9009
2006/9/27,4845,4914,9759
2006/9/28,4744,4580,9324
2006/9/29,6773,6085,12858
2006/9/30,5349,5429,10778
2006/10/1,5751,5802,11553
2006/10/2,4739,4906,9645
2006/10/3,4673,5321,9994
2006/10/4,4688,4651,9339
2006/10/5,7711,7538,15249
2006/10/6,5932,6802,12734
2006/10/7,5854,5655,11509
2006/10/8,6358,5788,12146
2006/10/9,6155,5532,11687
2006/10/10,6652,6246,12898
2006/10/11,5119,5154,10273
2006/10/12,4540,4443,8983
2006/10/13,6005,5662,11667
2006/10/14,5495,5423,10918
2006/10/15,5960,5953,11913
2006/10/16,4807,5080,9887
2006/10/17,4600,4639,9239
2006/10/18,4577,4533,9110
2006/10/19,4605,4406,9011
2006/10/20,6893,6496,13389
2006/10/21,5624,5723,11347
2006/10/22,6365,6517,12882
2006/10/23,4940,5078,10018
2006/10/24,4456,4365,8821
2006/10/25,4399,4518,8917
2006/10/26,4733,4455,9188
2006/10/27,6702,6165,12867
2006/10/28,5820,5886,11706
2006/10/29,6723,6566,13289
2006/10/30,5094,5129,10223
2006/10/31,4425,4335,8760
2006/11/1,4344,4269,8613
2006/11/2,4513,4249,8762
2006/11/3,6754,6229,12983
2006/11/4,5507,5421,10928
2006/11/5,5824,6050,11874
2006/11/6,4888,4901,9789
2006/11/7,4365,4384,8749
2006/11/8,4476,4497,8973
2006/11/9,5046,4809,9855
2006/11/10,7287,6481,13768
2006/11/11,6144,5964,12108
2006/11/12,6490,6583,13073
2006/11/13,5065,5166,10231
2006/11/14,4360,4392,8752
2006/11/15,4437,4354,8791
2006/11/16,4696,4681,9377
2006/11/17,6083,7019,13102
2006/11/18,6450,5879,12329
2006/11/19,7160,5747,12907
2006/11/20,5079,5170,10249
2006/11/21,3904,4102,8006
2006/11/22,4175,4155,8330
2006/11/23,4865,4590,9455
2006/11/24,7445,6476,13921
2006/11/25,5328,5245,10573
2006/11/26,6295,6434,12729
2006/11/27,4879,5004,9883
2006/11/28,4084,3989,8073
2006/11/29,4879,5420,10299
2006/11/30,4819,4762,9581
2006/12/1,7249,6737,13986
2006/12/2,5442,5600,11042
2006/12/3,6960,6528,13488
2006/12/4,5137,5083,10220
2006/12/5,4394,4426,8820
2006/12/6,4751,4638,9389
2006/12/7,4978,4478,9456
2006/12/8,7498,6816,14314
2006/12/9,6075,6062,12137
2006/12/10,6849,7053,13902
2006/12/11,5177,5103,10280
2006/12/12,4506,4367,8873
2006/12/13,4604,4387,8991
2006/12/14,4532,4008,8540
2006/12/15,6823,6154,12977
2006/12/16,4371,4537,8908
2006/12/17,6413,6149,12562
2006/12/18,4978,5034,10012
2006/12/19,3621,2966,6587
2006/12/20,2859,2720,5579
2006/12/21,3153,2769,5922
2006/12/22,7944,7018,14962
2006/12/23,5897,5741,11638
2006/12/24,6969,6897,13866
2006/12/25,5588,5625,11213
2006/12/26,4792,4677,9469
2006/12/27,4697,4722,9419
2006/12/28,4810,4054,8864
2006/12/29,7321,6897,14218
2006/12/30,5900,5744,11644
2006/12/31,7658,5168,12826
2007/1/1,6430,8203,14633
2007/1/2,5145,5316,10461
2007/1/3,4343,4193,8536
2007/1/4,4396,4133,8529
2007/1/5,6482,6105,12587
2007/1/6,4773,4805,9578
2007/1/7,4998,5340,10338
2007/1/8,4574,4619,9193
2007/1/9,4393,4228,8621
2007/1/10,4426,4214,8640
2007/1/11,4737,4513,9250
2007/1/12,6066,5919,11985
2007/1/13,4908,4941,9849
2007/1/14,5435,5313,10748
2007/1/15,5089,4832,9921
2007/1/16,4428,4387,8815
2007/1/17,4044,4018,8062
2007/1/18,4470,4450,8920
2007/1/19,5845,5610,11455
2007/1/20,4830,4973,9803
2007/1/21,4863,5372,10235
2007/1/22,4807,4988,9795
2007/1/23,4449,4456,8905
2007/1/24,4692,4679,9371
2007/1/25,4830,4755,9585
2007/1/26,6621,6003,12624
2007/1/27,4668,4461,9129
2007/1/28,5018,4678,9696
2007/1/29,4623,4374,8997
2007/1/30,4214,3951,8165
2007/1/31,4540,4209,8749
2007/2/1,4313,4322,8635
2007/2/2,4972,4907,9879
2007/2/3,4891,4935,9826
2007/2/4,5224,4926,10150
2007/2/5,5356,5088,10444
2007/2/6,4986,4803,9789
2007/2/7,4901,4734,9635
2007/2/8,5224,4821,10045
2007/2/9,5793,5651,11444
2007/2/10,5107,5400,10507
2007/2/11,5273,4939,10212
2007/2/12,5191,5222,10413
2007/2/13,4608,4454,9062
2007/2/14,5035,4943,9978
2007/2/15,4762,5077,9839
2007/2/16,4811,5395,10206
